fabric_name,event_name,climate_zone,season,fabric_category,breathability,warmth,formality,water_resistance,event_formality_level,duration_hours,activity_level,setting,weather_exposure,temp_min,temp_max,humidity,precipitation,hemisphere,seasonal_variation,temp_avg,temp_comfort_score,formality_match_score,activity_suitability_score,weather_protection_score,overall_recommendation_score,recommendation_category
Cotton,Wedding,Desert_Hot,summer,Natural,8,4,6,2,9,5,4,both,5,35,45,Low,,Both,High,40.0,8.0,5,8,7,73.0,Good
Cotton,Job Interview,Arctic_Cold,winter,Natural,8,4,6,2,8,1,2,indoor,2,-40,-20,Low,Low,Northern,Moderate,-30.0,4.0,7,8,7,57.0,Fair
Cotton,Job Interview,Arctic_Cold,summer,Natural,8,4,6,2,8,1,2,indoor,2,5,15,Medium,Medium,Northern,Moderate,10.0,8.5,7,8,2,74.5,Good
Cotton,Job Interview,Subarctic_Cold,winter,Natural,8,4,6,2,8,1,2,indoor,2,-30,-10,Low,Low,Northern,Extreme,-20.0,4.0,7,8,7,57.0,Fair
Cotton,Job Interview,Subarctic_Cold,summer,Natural,8,4,6,2,8,1,2,indoor,2,12,25,Medium,Medium,Northern,Extreme,18.5,8.5,7,8,2,74.5,Good
Cotton,Job Interview,Continental_Temperate,winter,Natural,8,4,6,2,8,1,2,indoor,2,-10,0,Medium,Medium,Northern,High,-5.0,4.0,7,8,2,52.0,Fair
Cotton,Job Interview,Continental_Temperate,summer,Natural,8,4,6,2,8,1,2,indoor,2,20,30,Medium,Medium,Northern,High,25.0,8.5,7,8,2,74.5,Good
Cotton,Job Interview,Oceanic_Temperate,winter,Natural,8,4,6,2,8,1,2,indoor,2,0,10,Medium,High,Both,Low,5.0,4.0,7,8,2,52.0,Fair
Cotton,Job Interview,Oceanic_Temperate,summer,Natural,8,4,6,2,8,1,2,indoor,2,15,25,Medium,High,Both,Low,20.0,8.5,7,8,2,74.5,Good
Cotton,Job Interview,Mediterranean,winter,Natural,8,4,6,2,8,1,2,indoor,2,5,15,Medium,Medium,Both,Moderate,10.0,8.5,7,8,2,74.5,Good
Cotton,Job Interview,Mediterranean,summer,Natural,8,4,6,2,8,1,2,indoor,2,25,35,Low,Low,Both,Moderate,30.0,8.0,7,8,7,77.0,Good
Cotton,Job Interview,Subtropical_Humid,winter,Natural,8,4,6,2,8,1,2,indoor,2,10,20,High,Medium,Both,Moderate,15.0,8.5,7,8,2,74.5,Good
Cotton,Job Interview,Subtropical_Humid,summer,Natural,8,4,6,2,8,1,2,indoor,2,25,35,High,Medium,Both,Moderate,30.0,8.0,7,8,2,72.0,Good
Cotton,Job Interview,Tropical,winter,Natural,8,4,6,2,8,1,2,indoor,2,25,28,High,High,Both,,26.5,8.0,7,8,2,72.0,Good
Cotton,Job Interview,Tropical,summer,Natural,8,4,6,2,8,1,2,indoor,2,28,32,High,High,Both,,30.0,8.0,7,8,2,72.0,Good
Cotton,Job Interview,Desert_Hot,winter,Natural,8,4,6,2,8,1,2,indoor,2,15,25,Low,,Both,High,20.0,8.5,7,8,7,79.5,Excellent
Cotton,Job Interview,Desert_Hot,summer,Natural,8,4,6,2,8,1,2,indoor,2,35,45,Low,,Both,High,40.0,8.0,7,8,7,77.0,Good
Cotton,Birthday Party,Arctic_Cold,winter,Natural,8,4,6,2,3,3,6,both,5,-40,-20,Low,Low,Northern,Moderate,-30.0,4.0,5,8,7,53.0,Fair
Cotton,Birthday Party,Arctic_Cold,summer,Natural,8,4,6,2,3,3,6,both,5,5,15,Medium,Medium,Northern,Moderate,10.0,8.5,5,8,2,70.5,Good
Cotton,Birthday Party,Subarctic_Cold,winter,Natural,8,4,6,2,3,3,6,both,5,-30,-10,Low,Low,Northern,Extreme,-20.0,4.0,5,8,7,53.0,Fair
Cotton,Birthday Party,Subarctic_Cold,summer,Natural,8,4,6,2,3,3,6,both,5,12,25,Medium,Medium,Northern,Extreme,18.5,8.5,5,8,2,70.5,Good
Cotton,Birthday Party,Continental_Temperate,winter,Natural,8,4,6,2,3,3,6,both,5,-10,0,Medium,Medium,Northern,High,-5.0,4.0,5,8,2,48.0,Poor
Cotton,Birthday Party,Continental_Temperate,summer,Natural,8,4,6,2,3,3,6,both,5,20,30,Medium,Medium,Northern,High,25.0,8.5,5,8,2,70.5,Good
Cotton,Birthday Party,Oceanic_Temperate,winter,Natural,8,4,6,2,3,3,6,both,5,0,10,Medium,High,Both,Low,5.0,4.0,5,8,2,48.0,Poor
Cotton,Birthday Party,Oceanic_Temperate,summer,Natural,8,4,6,2,3,3,6,both,5,15,25,Medium,High,Both,Low,20.0,8.5,5,8,2,70.5,Good
Cotton,Birthday Party,Mediterranean,winter,Natural,8,4,6,2,3,3,6,both,5,5,15,Medium,Medium,Both,Moderate,10.0,8.5,5,8,2,70.5,Good
Cotton,Birthday Party,Mediterranean,summer,Natural,8,4,6,2,3,3,6,both,5,25,35,Low,Low,Both,Moderate,30.0,8.0,5,8,7,73.0,Good
Cotton,Birthday Party,Subtropical_Humid,winter,Natural,8,4,6,2,3,3,6,both,5,10,20,High,Medium,Both,Moderate,15.0,8.5,5,8,2,70.5,Good
Cotton,Birthday Party,Subtropical_Humid,summer,Natural,8,4,6,2,3,3,6,both,5,25,35,High,Medium,Both,Moderate,30.0,8.0,5,8,2,68.0,Good
Cotton,Birthday Party,Tropical,winter,Natural,8,4,6,2,3,3,6,both,5,25,28,High,High,Both,,26.5,8.0,5,8,2,68.0,Good
Cotton,Birthday Party,Tropical,summer,Natural,8,4,6,2,3,3,6,both,5,28,32,High,High,Both,,30.0,8.0,5,8,2,68.0,Good
Cotton,Birthday Party,Desert_Hot,winter,Natural,8,4,6,2,3,3,6,both,5,15,25,Low,,Both,High,20.0,8.5,5,8,7,75.5,Good
Cotton,Birthday Party,Desert_Hot,summer,Natural,8,4,6,2,3,3,6,both,5,35,45,Low,,Both,High,40.0,8.0,5,8,7,73.0,Good
Cotton,Business Meeting,Arctic_Cold,winter,Natural,8,4,6,2,6,5,2,indoor,2,-40,-20,Low,Low,Northern,Moderate,-30.0,4.0,10,8,7,63.0,Fair
Cotton,Business Meeting,Arctic_Cold,summer,Natural,8,4,6,2,6,5,2,indoor,2,5,15,Medium,Medium,Northern,Moderate,10.0,8.5,10,8,2,80.5,Excellent
Cotton,Business Meeting,Subarctic_Cold,winter,Natural,8,4,6,2,6,5,2,indoor,2,-30,-10,Low,Low,Northern,Extreme,-20.0,4.0,10,8,7,63.0,Fair
Cotton,Business Meeting,Subarctic_Cold,summer,Natural,8,4,6,2,6,5,2,indoor,2,12,25,Medium,Medium,Northern,Extreme,18.5,8.5,10,8,2,80.5,Excellent
Cotton,Business Meeting,Continental_Temperate,winter,Natural,8,4,6,2,6,5,2,indoor,2,-10,0,Medium,Medium,Northern,High,-5.0,4.0,10,8,2,58.0,Fair
Cotton,Business Meeting,Continental_Temperate,summer,Natural,8,4,6,2,6,5,2,indoor,2,20,30,Medium,Medium,Northern,High,25.0,8.5,10,8,2,80.5,Excellent
Cotton,Business Meeting,Oceanic_Temperate,winter,Natural,8,4,6,2,6,5,2,indoor,2,0,10,Medium,High,Both,Low,5.0,4.0,10,8,2,58.0,Fair
Cotton,Business Meeting,Oceanic_Temperate,summer,Natural,8,4,6,2,6,5,2,indoor,2,15,25,Medium,High,Both,Low,20.0,8.5,10,8,2,80.5,Excellent
Cotton,Business Meeting,Mediterranean,winter,Natural,8,4,6,2,6,5,2,indoor,2,5,15,Medium,Medium,Both,Moderate,10.0,8.5,10,8,2,80.5,Excellent
Cotton,Business Meeting,Mediterranean,summer,Natural,8,4,6,2,6,5,2,indoor,2,25,35,Low,Low,Both,Moderate,30.0,8.0,10,8,7,83.0,Excellent
Cotton,Business Meeting,Subtropical_Humid,winter,Natural,8,4,6,2,6,5,2,indoor,2,10,20,High,Medium,Both,Moderate,15.0,8.5,10,8,2,80.5,Excellent
Cotton,Business Meeting,Subtropical_Humid,summer,Natural,8,4,6,2,6,5,2,indoor,2,25,35,High,Medium,Both,Moderate,30.0,8.0,10,8,2,78.0,Excellent
Cotton,Business Meeting,Tropical,winter,Natural,8,4,6,2,6,5,2,indoor,2,25,28,High,High,Both,,26.5,8.0,10,8,2,78.0,Excellent
Cotton,Business Meeting,Tropical,summer,Natural,8,4,6,2,6,5,2,indoor,2,28,32,High,High,Both,,30.0,8.0,10,8,2,78.0,Excellent
Cotton,Business Meeting,Desert_Hot,winter,Natural,8,4,6,2,6,5,2,indoor,2,15,25,Low,,Both,High,20.0,8.5,10,8,7,85.5,Excellent
Cotton,Business Meeting,Desert_Hot,summer,Natural,8,4,6,2,6,5,2,indoor,2,35,45,Low,,Both,High,40.0,8.0,10,8,7,83.0,Excellent
Cotton,Casual Hangout,Arctic_Cold,winter,Natural,8,4,6,2,1,6,5,outdoor,9,-40,-20,Low,Low,Northern,Moderate,-30.0,4.0,3,8,7,49.0,Poor
Cotton,Casual Hangout,Arctic_Cold,summer,Natural,8,4,6,2,1,6,5,outdoor,9,5,15,Medium,Medium,Northern,Moderate,10.0,8.5,3,8,2,66.5,Good
Cotton,Casual Hangout,Subarctic_Cold,winter,Natural,8,4,6,2,1,6,5,outdoor,9,-30,-10,Low,Low,Northern,Extreme,-20.0,4.0,3,8,7,49.0,Poor
Cotton,Casual Hangout,Subarctic_Cold,summer,Natural,8,4,6,2,1,6,5,outdoor,9,12,25,Medium,Medium,Northern,Extreme,18.5,8.5,3,8,2,66.5,Good
Cotton,Casual Hangout,Continental_Temperate,winter,Natural,8,4,6,2,1,6,5,outdoor,9,-10,0,Medium,Medium,Northern,High,-5.0,4.0,3,8,2,44.0,Poor
Cotton,Casual Hangout,Continental_Temperate,summer,Natural,8,4,6,2,1,6,5,outdoor,9,20,30,Medium,Medium,Northern,High,25.0,8.5,3,8,2,66.5,Good
Cotton,Casual Hangout,Oceanic_Temperate,winter,Natural,8,4,6,2,1,6,5,outdoor,9,0,10,Medium,High,Both,Low,5.0,4.0,3,8,2,44.0,Poor
Cotton,Casual Hangout,Oceanic_Temperate,summer,Natural,8,4,6,2,1,6,5,outdoor,9,15,25,Medium,High,Both,Low,20.0,8.5,3,8,2,66.5,Good
Cotton,Casual Hangout,Mediterranean,winter,Natural,8,4,6,2,1,6,5,outdoor,9,5,15,Medium,Medium,Both,Moderate,10.0,8.5,3,8,2,66.5,Good
Cotton,Casual Hangout,Mediterranean,summer,Natural,8,4,6,2,1,6,5,outdoor,9,25,35,Low,Low,Both,Moderate,30.0,8.0,3,8,7,69.0,Good
Cotton,Casual Hangout,Subtropical_Humid,winter,Natural,8,4,6,2,1,6,5,outdoor,9,10,20,High,Medium,Both,Moderate,15.0,8.5,3,8,2,66.5,Good
Cotton,Casual Hangout,Subtropical_Humid,summer,Natural,8,4,6,2,1,6,5,outdoor,9,25,35,High,Medium,Both,Moderate,30.0,8.0,3,8,2,64.0,Fair
Cotton,Casual Hangout,Tropical,winter,Natural,8,4,6,2,1,6,5,outdoor,9,25,28,High,High,Both,,26.5,8.0,3,8,2,64.0,Fair
Cotton,Casual Hangout,Tropical,summer,Natural,8,4,6,2,1,6,5,outdoor,9,28,32,High,High,Both,,30.0,8.0,3,8,2,64.0,Fair
Cotton,Casual Hangout,Desert_Hot,winter,Natural,8,4,6,2,1,6,5,outdoor,9,15,25,Low,,Both,High,20.0,8.5,3,8,7,71.5,Good
Cotton,Casual Hangout,Desert_Hot,summer,Natural,8,4,6,2,1,6,5,outdoor,9,35,45,Low,,Both,High,40.0,8.0,3,8,7,69.0,Good
Cotton,Formal Dinner,Arctic_Cold,winter,Natural,8,4,6,2,9,7,2,indoor,4,-40,-20,Low,Low,Northern,Moderate,-30.0,4.0,5,8,7,53.0,Fair
Cotton,Formal Dinner,Arctic_Cold,summer,Natural,8,4,6,2,9,7,2,indoor,4,5,15,Medium,Medium,Northern,Moderate,10.0,8.5,5,8,2,70.5,Good
Cotton,Formal Dinner,Subarctic_Cold,winter,Natural,8,4,6,2,9,7,2,indoor,4,-30,-10,Low,Low,Northern,Extreme,-20.0,4.0,5,8,7,53.0,Fair
Cotton,Formal Dinner,Subarctic_Cold,summer,Natural,8,4,6,2,9,7,2,indoor,4,12,25,Medium,Medium,Northern,Extreme,18.5,8.5,5,8,2,70.5,Good
Cotton,Formal Dinner,Continental_Temperate,winter,Natural,8,4,6,2,9,7,2,indoor,4,-10,0,Medium,Medium,Northern,High,-5.0,4.0,5,8,2,48.0,Poor
Cotton,Formal Dinner,Continental_Temperate,summer,Natural,8,4,6,2,9,7,2,indoor,4,20,30,Medium,Medium,Northern,High,25.0,8.5,5,8,2,70.5,Good
Cotton,Formal Dinner,Oceanic_Temperate,winter,Natural,8,4,6,2,9,7,2,indoor,4,0,10,Medium,High,Both,Low,5.0,4.0,5,8,2,48.0,Poor
Cotton,Formal Dinner,Oceanic_Temperate,summer,Natural,8,4,6,2,9,7,2,indoor,4,15,25,Medium,High,Both,Low,20.0,8.5,5,8,2,70.5,Good
Cotton,Formal Dinner,Mediterranean,winter,Natural,8,4,6,2,9,7,2,indoor,4,5,15,Medium,Medium,Both,Moderate,10.0,8.5,5,8,2,70.5,Good
Cotton,Formal Dinner,Mediterranean,summer,Natural,8,4,6,2,9,7,2,indoor,4,25,35,Low,Low,Both,Moderate,30.0,8.0,5,8,7,73.0,Good
Cotton,Formal Dinner,Subtropical_Humid,winter,Natural,8,4,6,2,9,7,2,indoor,4,10,20,High,Medium,Both,Moderate,15.0,8.5,5,8,2,70.5,Good
Cotton,Formal Dinner,Subtropical_Humid,summer,Natural,8,4,6,2,9,7,2,indoor,4,25,35,High,Medium,Both,Moderate,30.0,8.0,5,8,2,68.0,Good
Cotton,Formal Dinner,Tropical,winter,Natural,8,4,6,2,9,7,2,indoor,4,25,28,High,High,Both,,26.5,8.0,5,8,2,68.0,Good
Cotton,Formal Dinner,Tropical,summer,Natural,8,4,6,2,9,7,2,indoor,4,28,32,High,High,Both,,30.0,8.0,5,8,2,68.0,Good
Cotton,Formal Dinner,Desert_Hot,winter,Natural,8,4,6,2,9,7,2,indoor,4,15,25,Low,,Both,High,20.0,8.5,5,8,7,75.5,Good
Cotton,Formal Dinner,Desert_Hot,summer,Natural,8,4,6,2,9,7,2,indoor,4,35,45,Low,,Both,High,40.0,8.0,5,8,7,73.0,Good
Cotton,Outdoor Concert,Arctic_Cold,winter,Natural,8,4,6,2,1,8,7,outdoor,9,-40,-20,Low,Low,Northern,Moderate,-30.0,4.0,3,8,7,49.0,Poor
Cotton,Outdoor Concert,Arctic_Cold,summer,Natural,8,4,6,2,1,8,7,outdoor,9,5,15,Medium,Medium,Northern,Moderate,10.0,8.5,3,8,2,66.5,Good
Cotton,Outdoor Concert,Subarctic_Cold,winter,Natural,8,4,6,2,1,8,7,outdoor,9,-30,-10,Low,Low,Northern,Extreme,-20.0,4.0,3,8,7,49.0,Poor
Cotton,Outdoor Concert,Subarctic_Cold,summer,Natural,8,4,6,2,1,8,7,outdoor,9,12,25,Medium,Medium,Northern,Extreme,18.5,8.5,3,8,2,66.5,Good
Cotton,Outdoor Concert,Continental_Temperate,winter,Natural,8,4,6,2,1,8,7,outdoor,9,-10,0,Medium,Medium,Northern,High,-5.0,4.0,3,8,2,44.0,Poor
Cotton,Outdoor Concert,Continental_Temperate,summer,Natural,8,4,6,2,1,8,7,outdoor,9,20,30,Medium,Medium,Northern,High,25.0,8.5,3,8,2,66.5,Good
Cotton,Outdoor Concert,Oceanic_Temperate,winter,Natural,8,4,6,2,1,8,7,outdoor,9,0,10,Medium,High,Both,Low,5.0,4.0,3,8,2,44.0,Poor
Cotton,Outdoor Concert,Oceanic_Temperate,summer,Natural,8,4,6,2,1,8,7,outdoor,9,15,25,Medium,High,Both,Low,20.0,8.5,3,8,2,66.5,Good
Cotton,Outdoor Concert,Mediterranean,winter,Natural,8,4,6,2,1,8,7,outdoor,9,5,15,Medium,Medium,Both,Moderate,10.0,8.5,3,8,2,66.5,Good
Cotton,Outdoor Concert,Mediterranean,summer,Natural,8,4,6,2,1,8,7,outdoor,9,25,35,Low,Low,Both,Moderate,30.0,8.0,3,8,7,69.0,Good
Cotton,Outdoor Concert,Subtropical_Humid,winter,Natural,8,4,6,2,1,8,7,outdoor,9,10,20,High,Medium,Both,Moderate,15.0,8.5,3,8,2,66.5,Good
Cotton,Outdoor Concert,Subtropical_Humid,summer,Natural,8,4,6,2,1,8,7,outdoor,9,25,35,High,Medium,Both,Moderate,30.0,8.0,3,8,2,64.0,Fair
Cotton,Outdoor Concert,Tropical,winter,Natural,8,4,6,2,1,8,7,outdoor,9,25,28,High,High,Both,,26.5,8.0,3,8,2,64.0,Fair
Cotton,Outdoor Concert,Tropical,summer,Natural,8,4,6,2,1,8,7,outdoor,9,28,32,High,High,Both,,30.0,8.0,3,8,2,64.0,Fair
Cotton,Outdoor Concert,Desert_Hot,winter,Natural,8,4,6,2,1,8,7,outdoor,9,15,25,Low,,Both,High,20.0,8.5,3,8,7,71.5,Good
Cotton,Outdoor Concert,Desert_Hot,summer,Natural,8,4,6,2,1,8,7,outdoor,9,35,45,Low,,Both,High,40.0,8.0,3,8,7,69.0,Good
Cotton,Hiking,Arctic_Cold,winter,Natural,8,4,6,2,2,3,10,outdoor,10,-40,-20,Low,Low,Northern,Moderate,-30.0,4.0,4,8,7,51.0,Fair
Cotton,Hiking,Arctic_Cold,summer,Natural,8,4,6,2,2,3,10,outdoor,10,5,15,Medium,Medium,Northern,Moderate,10.0,8.5,4,8,2,68.5,Good
Cotton,Hiking,Subarctic_Cold,winter,Natural,8,4,6,2,2,3,10,outdoor,10,-30,-10,Low,Low,Northern,Extreme,-20.0,4.0,4,8,7,51.0,Fair
Cotton,Hiking,Subarctic_Cold,summer,Natural,8,4,6,2,2,3,10,outdoor,10,12,25,Medium,Medium,Northern,Extreme,18.5,8.5,4,8,2,68.5,Good
Cotton,Hiking,Continental_Temperate,winter,Natural,8,4,6,2,2,3,10,outdoor,10,-10,0,Medium,Medium,Northern,High,-5.0,4.0,4,8,2,46.0,Poor
Cotton,Hiking,Continental_Temperate,summer,Natural,8,4,6,2,2,3,10,outdoor,10,20,30,Medium,Medium,Northern,High,25.0,8.5,4,8,2,68.5,Good
Cotton,Hiking,Oceanic_Temperate,winter,Natural,8,4,6,2,2,3,10,outdoor,10,0,10,Medium,High,Both,Low,5.0,4.0,4,8,2,46.0,Poor
Cotton,Hiking,Oceanic_Temperate,summer,Natural,8,4,6,2,2,3,10,outdoor,10,15,25,Medium,High,Both,Low,20.0,8.5,4,8,2,68.5,Good
Cotton,Hiking,Mediterranean,winter,Natural,8,4,6,2,2,3,10,outdoor,10,5,15,Medium,Medium,Both,Moderate,10.0,8.5,4,8,2,68.5,Good
Cotton,Hiking,Mediterranean,summer,Natural,8,4,6,2,2,3,10,outdoor,10,25,35,Low,Low,Both,Moderate,30.0,8.0,4,8,7,71.0,Good
Cotton,Hiking,Subtropical_Humid,winter,Natural,8,4,6,2,2,3,10,outdoor,10,10,20,High,Medium,Both,Moderate,15.0,8.5,4,8,2,68.5,Good
Cotton,Hiking,Subtropical_Humid,summer,Natural,8,4,6,2,2,3,10,outdoor,10,25,35,High,Medium,Both,Moderate,30.0,8.0,4,8,2,66.0,Good
Cotton,Hiking,Tropical,winter,Natural,8,4,6,2,2,3,10,outdoor,10,25,28,High,High,Both,,26.5,8.0,4,8,2,66.0,Good
Cotton,Hiking,Tropical,summer,Natural,8,4,6,2,2,3,10,outdoor,10,28,32,High,High,Both,,30.0,8.0,4,8,2,66.0,Good
Cotton,Hiking,Desert_Hot,winter,Natural,8,4,6,2,2,3,10,outdoor,10,15,25,Low,,Both,High,20.0,8.5,4,8,7,73.5,Good
Cotton,Hiking,Desert_Hot,summer,Natural,8,4,6,2,2,3,10,outdoor,10,35,45,Low,,Both,High,40.0,8.0,4,8,7,71.0,Good
Cotton,Sports/Gym,Arctic_Cold,winter,Natural,8,4,6,2,1,1,8,both,5,-40,-20,Low,Low,Northern,Moderate,-30.0,4.0,3,8,7,49.0,Poor
Cotton,Sports/Gym,Arctic_Cold,summer,Natural,8,4,6,2,1,1,8,both,5,5,15,Medium,Medium,Northern,Moderate,10.0,8.5,3,8,2,66.5,Good
Cotton,Sports/Gym,Subarctic_Cold,winter,Natural,8,4,6,2,1,1,8,both,5,-30,-10,Low,Low,Northern,Extreme,-20.0,4.0,3,8,7,49.0,Poor
Cotton,Sports/Gym,Subarctic_Cold,summer,Natural,8,4,6,2,1,1,8,both,5,12,25,Medium,Medium,Northern,Extreme,18.5,8.5,3,8,2,66.5,Good
Cotton,Sports/Gym,Continental_Temperate,winter,Natural,8,4,6,2,1,1,8,both,5,-10,0,Medium,Medium,Northern,High,-5.0,4.0,3,8,2,44.0,Poor
Cotton,Sports/Gym,Continental_Temperate,summer,Natural,8,4,6,2,1,1,8,both,5,20,30,Medium,Medium,Northern,High,25.0,8.5,3,8,2,66.5,Good
Cotton,Sports/Gym,Oceanic_Temperate,winter,Natural,8,4,6,2,1,1,8,both,5,0,10,Medium,High,Both,Low,5.0,4.0,3,8,2,44.0,Poor
Cotton,Sports/Gym,Oceanic_Temperate,summer,Natural,8,4,6,2,1,1,8,both,5,15,25,Medium,High,Both,Low,20.0,8.5,3,8,2,66.5,Good
Cotton,Sports/Gym,Mediterranean,winter,Natural,8,4,6,2,1,1,8,both,5,5,15,Medium,Medium,Both,Moderate,10.0,8.5,3,8,2,66.5,Good
Cotton,Sports/Gym,Mediterranean,summer,Natural,8,4,6,2,1,1,8,both,5,25,35,Low,Low,Both,Moderate,30.0,8.0,3,8,7,69.0,Good
Cotton,Sports/Gym,Subtropical_Humid,winter,Natural,8,4,6,2,1,1,8,both,5,10,20,High,Medium,Both,Moderate,15.0,8.5,3,8,2,66.5,Good
Cotton,Sports/Gym,Subtropical_Humid,summer,Natural,8,4,6,2,1,1,8,both,5,25,35,High,Medium,Both,Moderate,30.0,8.0,3,8,2,64.0,Fair
Cotton,Sports/Gym,Tropical,winter,Natural,8,4,6,2,1,1,8,both,5,25,28,High,High,Both,,26.5,8.0,3,8,2,64.0,Fair
Cotton,Sports/Gym,Tropical,summer,Natural,8,4,6,2,1,1,8,both,5,28,32,High,High,Both,,30.0,8.0,3,8,2,64.0,Fair
Cotton,Sports/Gym,Desert_Hot,winter,Natural,8,4,6,2,1,1,8,both,5,15,25,Low,,Both,High,20.0,8.5,3,8,7,71.5,Good
Cotton,Sports/Gym,Desert_Hot,summer,Natural,8,4,6,2,1,1,8,both,5,35,45,Low,,Both,High,40.0,8.0,3,8,7,69.0,Good
Cotton,Beach Outing,Arctic_Cold,winter,Natural,8,4,6,2,1,4,6,outdoor,10,-40,-20,Low,Low,Northern,Moderate,-30.0,4.0,3,8,7,49.0,Poor
Cotton,Beach Outing,Arctic_Cold,summer,Natural,8,4,6,2,1,4,6,outdoor,10,5,15,Medium,Medium,Northern,Moderate,10.0,8.5,3,8,2,66.5,Good
Cotton,Beach Outing,Subarctic_Cold,winter,Natural,8,4,6,2,1,4,6,outdoor,10,-30,-10,Low,Low,Northern,Extreme,-20.0,4.0,3,8,7,49.0,Poor
Cotton,Beach Outing,Subarctic_Cold,summer,Natural,8,4,6,2,1,4,6,outdoor,10,12,25,Medium,Medium,Northern,Extreme,18.5,8.5,3,8,2,66.5,Good
Cotton,Beach Outing,Continental_Temperate,winter,Natural,8,4,6,2,1,4,6,outdoor,10,-10,0,Medium,Medium,Northern,High,-5.0,4.0,3,8,2,44.0,Poor
Cotton,Beach Outing,Continental_Temperate,summer,Natural,8,4,6,2,1,4,6,outdoor,10,20,30,Medium,Medium,Northern,High,25.0,8.5,3,8,2,66.5,Good
Cotton,Beach Outing,Oceanic_Temperate,winter,Natural,8,4,6,2,1,4,6,outdoor,10,0,10,Medium,High,Both,Low,5.0,4.0,3,8,2,44.0,Poor
Cotton,Beach Outing,Oceanic_Temperate,summer,Natural,8,4,6,2,1,4,6,outdoor,10,15,25,Medium,High,Both,Low,20.0,8.5,3,8,2,66.5,Good
Cotton,Beach Outing,Mediterranean,winter,Natural,8,4,6,2,1,4,6,outdoor,10,5,15,Medium,Medium,Both,Moderate,10.0,8.5,3,8,2,66.5,Good
Cotton,Beach Outing,Mediterranean,summer,Natural,8,4,6,2,1,4,6,outdoor,10,25,35,Low,Low,Both,Moderate,30.0,8.0,3,8,7,69.0,Good
Cotton,Beach Outing,Subtropical_Humid,winter,Natural,8,4,6,2,1,4,6,outdoor,10,10,20,High,Medium,Both,Moderate,15.0,8.5,3,8,2,66.5,Good
Cotton,Beach Outing,Subtropical_Humid,summer,Natural,8,4,6,2,1,4,6,outdoor,10,25,35,High,Medium,Both,Moderate,30.0,8.0,3,8,2,64.0,Fair
Cotton,Beach Outing,Tropical,winter,Natural,8,4,6,2,1,4,6,outdoor,10,25,28,High,High,Both,,26.5,8.0,3,8,2,64.0,Fair
Cotton,Beach Outing,Tropical,summer,Natural,8,4,6,2,1,4,6,outdoor,10,28,32,High,High,Both,,30.0,8.0,3,8,2,64.0,Fair
